Date,Opponent,Location,Venue,Start Time (Local),Time Zone
3/26/2026,Los Angeles Angels,Houston,Daikin Park,4:10 PM,CDT
3/27/2026,Los Angeles Angels,Houston,Daikin Park,8:10 PM,CDT
3/28/2026,Los Angeles Angels,Houston,Daikin Park,7:10 PM,CDT
3/29/2026,Los Angeles Angels,Houston,Daikin Park,2:10 PM,CDT
3/30/2026,Boston Red Sox,Houston,Daikin Park,8:10 PM,CDT
3/31/2026,Boston Red Sox,Houston,Daikin Park,8:10 PM,CDT
4/1/2026,Boston Red Sox,Houston,Daikin Park,2:10 PM,CDT
4/3/2026,Athletics,Oakland,Oakland Coliseum,9:40 PM,PDT
4/4/2026,Athletics,Oakland,Oakland Coliseum,4:05 PM,PDT
4/5/2026,Athletics,Oakland,Oakland Coliseum,4:05 PM,PDT
4/6/2026,Colorado Rockies,Denver,Coors Field,8:40 PM,MDT
4/7/2026,Colorado Rockies,Denver,Coors Field,8:40 PM,MDT
4/8/2026,Colorado Rockies,Denver,Coors Field,3:10 PM,MDT
4/10/2026,Seattle Mariners,Seattle,T-Mobile Park,9:40 PM,PDT
4/11/2026,Seattle Mariners,Seattle,T-Mobile Park,9:40 PM,PDT
4/12/2026,Seattle Mariners,Seattle,T-Mobile Park,4:10 PM,PDT
4/13/2026,Seattle Mariners,Seattle,T-Mobile Park,4:10 PM,PDT
4/14/2026,Colorado Rockies,Houston,Daikin Park,8:10 PM,CDT
4/15/2026,Colorado Rockies,Houston,Daikin Park,8:10 PM,CDT
4/16/2026,Colorado Rockies,Houston,Daikin Park,8:10 PM,CDT
4/17/2026,St. Louis Cardinals,Houston,Daikin Park,8:10 PM,CDT
4/18/2026,St. Louis Cardinals,Houston,Daikin Park,7:10 PM,CDT
4/19/2026,St. Louis Cardinals,Houston,Daikin Park,2:10 PM,CDT
4/20/2026,Cleveland Guardians,Cleveland,Progressive Field,6:10 PM,EDT
4/21/2026,Cleveland Guardians,Cleveland,Progressive Field,6:10 PM,EDT
5/28/2026,Texas Rangers,Arlington,Globe Life Field,7:05 PM,CDT
5/29/2026,Milwaukee Brewers,Houston,Daikin Park,7:10 PM,CDT
5/30/2026,Milwaukee Brewers,Houston,Daikin Park,3:10 PM,CDT
5/31/2026,Milwaukee Brewers,Houston,Daikin Park,1:10 PM,CDT
6/2/2026,Pittsburgh Pirates,Houston,Daikin Park,7:10 PM,CDT
6/3/2026,Pittsburgh Pirates,Houston,Daikin Park,7:10 PM,CDT
6/4/2026,Pittsburgh Pirates,Houston,Daikin Park,7:10 PM,CDT
6/5/2026,Athletics,Houston,Daikin Park,7:10 PM,CDT
6/6/2026,Athletics,Houston,Daikin Park,3:10 PM,CDT
6/7/2026,Athletics,Houston,Daikin Park,1:10 PM,CDT
6/8/2026,Los Angeles Angels,Anaheim,Angel Stadium,6:38 PM,PDT
6/9/2026,Los Angeles Angels,Anaheim,Angel Stadium,6:38 PM,PDT
6/10/2026,Los Angeles Angels,Anaheim,Angel Stadium,6:38 PM,PDT
6/12/2026,Kansas City Royals,Kansas City,Kauffman Stadium,7:10 PM,CDT
6/13/2026,Kansas City Royals,Kansas City,Kauffman Stadium,6:10 PM,CDT
6/14/2026,Kansas City Royals,Kansas City,Kauffman Stadium,1:10 PM,CDT
6/15/2026,Detroit Tigers,Houston,Daikin Park,7:10 PM,CDT
6/16/2026,Detroit Tigers,Houston,Daikin Park,7:10 PM,CDT
6/17/2026,Detroit Tigers,Houston,Daikin Park,1:10 PM,CDT
6/19/2026,Cleveland Guardians,Houston,Daikin Park,7:10 PM,CDT
6/20/2026,Cleveland Guardians,Houston,Daikin Park,6:15 PM,CDT
6/21/2026,Cleveland Guardians,Houston,Daikin Park,1:10 PM,CDT
6/22/2026,Toronto Blue Jays,Toronto,Rogers Centre,7:07 PM,EDT
6/23/2026,Toronto Blue Jays,Toronto,Rogers Centre,4:07 PM,EDT
6/24/2026,Toronto Blue Jays,Toronto,Rogers Centre,7:07 PM,EDT
6/25/2026,Detroit Tigers,Detroit,Comerica Park,6:40 PM,EDT
6/26/2026,Detroit Tigers,Detroit,Comerica Park,6:40 PM,EDT
6/27/2026,Detroit Tigers,Detroit,Comerica Park,1:10 PM,EDT
6/28/2026,Detroit Tigers,Detroit,Comerica Park,1:40 PM,EDT
6/29/2026,Minnesota Twins,Houston,Daikin Park,7:10 PM,CDT
6/30/2026,Minnesota Twins,Houston,Daikin Park,7:10 PM,CDT
7/1/2026,Minnesota Twins,Houston,Daikin Park,7:10 PM,CDT
7/3/2026,Tampa Bay Rays,Houston,Daikin Park,7:15 PM,CDT
7/4/2026,Tampa Bay Rays,Houston,Daikin Park,6:10 PM,CDT
7/5/2026,Tampa Bay Rays,Houston,Daikin Park,2:30 PM,CDT
7/6/2026,Washington Nationals,Washington,Nationals Park,6:45 PM,EDT
7/7/2026,Washington Nationals,Washington,Nationals Park,6:45 PM,EDT
7/8/2026,Washington Nationals,Washington,Nationals Park,6:45 PM,EDT
7/10/2026,Texas Rangers,Arlington,Globe Life Field,7:05 PM,CDT
7/11/2026,Texas Rangers,Arlington,Globe Life Field,6:05 PM,CDT
8/1/2026,Texas Rangers,Houston,Daikin Park,6:10 PM,CDT
8/2/2026,Texas Rangers,Houston,Daikin Park,1:10 PM,CDT
8/3/2026,Toronto Blue Jays,Houston,Daikin Park,7:10 PM,CDT
8/4/2026,Toronto Blue Jays,Houston,Daikin Park,7:10 PM,CDT
8/5/2026,Toronto Blue Jays,Houston,Daikin Park,1:10 PM,CDT
8/7/2026,San Diego Padres,San Diego,Petco Park,6:40 PM,PDT
8/8/2026,San Diego Padres,San Diego,Petco Park,4:15 PM,PDT
8/9/2026,San Diego Padres,San Diego,Petco Park,5:20 PM,PDT
8/10/2026,San Francisco Giants,San Francisco,Oracle Park,6:45 PM,PDT
8/11/2026,San Francisco Giants,San Francisco,Oracle Park,6:45 PM,PDT
8/12/2026,San Francisco Giants,San Francisco,Oracle Park,12:45 PM,PDT
8/14/2026,Seattle Mariners,Houston,Daikin Park,7:10 PM,CDT
8/15/2026,Seattle Mariners,Houston,Daikin Park,6:10 PM,CDT
8/16/2026,Seattle Mariners,Houston,Daikin Park,6:20 PM,CDT
8/18/2026,Los Angeles Angels,Houston,Daikin Park,7:10 PM,CDT
8/19/2026,Los Angeles Angels,Houston,Daikin Park,7:10 PM,CDT
8/20/2026,Los Angeles Angels,Houston,Daikin Park,7:10 PM,CDT
8/21/2026,Athletics,Houston,Daikin Park,7:10 PM,CDT
8/22/2026,Athletics,Houston,Daikin Park,6:10 PM,CDT
8/23/2026,Athletics,Houston,Daikin Park,1:10 PM,CDT
8/25/2026,New York Yankees,New York,Yankee Stadium,7:05 PM,EDT
8/26/2026,New York Yankees,New York,Yankee Stadium,7:05 PM,EDT
8/27/2026,New York Yankees,New York,Yankee Stadium,7:05 PM,EDT
8/28/2026,New York Mets,New York,Citi Field,7:10 PM,EDT
8/29/2026,New York Mets,New York,Citi Field,4:10 PM,EDT
8/30/2026,New York Mets,New York,Citi Field,7:20 PM,EDT
8/31/2026,Chicago White Sox,Houston,Daikin Park,7:10 PM,CDT
9/1/2026,Chicago White Sox,Houston,Daikin Park,7:10 PM,CDT
9/2/2026,Chicago White Sox,Houston,Daikin Park,7:10 PM,CDT
9/3/2026,Chicago White Sox,Houston,Daikin Park,1:10 PM,CDT
9/4/2026,Arizona Diamondbacks,Houston,Daikin Park,7:10 PM,CDT
9/5/2026,Arizona Diamondbacks,Houston,Daikin Park,6:15 PM,CDT
9/6/2026,Arizona Diamondbacks,Houston,Daikin Park,1:10 PM,CDT
9/8/2026,Philadelphia Phillies,Philadelphia,Citizens Bank Park,6:40 PM,EDT
9/9/2026,Philadelphia Phillies,Philadelphia,Citizens Bank Park,6:40 PM,EDT
9/10/2026,Philadelphia Phillies,Philadelphia,Citizens Bank Park,1:05 PM,EDT
9/11/2026,Tampa Bay Rays,St. Petersburg,Tropicana Field,7:10 PM,EDT
9/12/2026,Tampa Bay Rays,St. Petersburg,Tropicana Field,6:10 PM,EDT
9/13/2026,Tampa Bay Rays,St. Petersburg,Tropicana Field,1:40 PM,EDT
9/15/2026,Kansas City Royals,Houston,Daikin Park,7:10 PM,CDT
9/16/2026,Kansas City Royals,Houston,Daikin Park,7:10 PM,CDT
9/17/2026,Kansas City Royals,Houston,Daikin Park,6:15 PM,CDT
9/18/2026,Atlanta Braves,Houston,Daikin Park,7:10 PM,CDT
9/19/2026,Atlanta Braves,Houston,Daikin Park,6:10 PM,CDT
9/20/2026,Atlanta Braves,Houston,Daikin Park,1:10 PM,CDT
9/22/2026,Seattle Mariners,Seattle,T-Mobile Park,6:40 PM,PDT
9/23/2026,Seattle Mariners,Seattle,T-Mobile Park,7:10 PM,PDT
9/24/2026,Athletics,Sacramento,Sutter Health Park,6:40 PM,PDT
9/25/2026,Athletics,Sacramento,Sutter Health Park,6:40 PM,PDT
9/26/2026,Athletics,Sacramento,Sutter Health Park,6:40 PM,PDT
9/27/2026,Athletics,Sacramento,Sutter Health Park,12:05 PM,PDT
